months,vegan
2004-01,12
2004-02,10
2004-03,13
2004-04,11
2004-05,10
2004-06,10
2004-07,13
2004-08,12
2004-09,12
2004-10,11
2004-11,14
2004-12,13
2005-01,13
2005-02,12
2005-03,12
2005-04,10
2005-05,12
2005-06,11
2005-07,12
2005-08,13
2005-09,12
2005-10,10
2005-11,13
2005-12,14
2006-01,12
2006-02,13
2006-03,12
2006-04,12
2006-05,11
2006-06,11
2006-07,13
2006-08,12
2006-09,12
2006-10,12
2006-11,13
2006-12,13
2007-01,12
2007-02,12
2007-03,11
2007-04,13
2007-05,14
2007-06,12
2007-07,13
2007-08,13
2007-09,12
2007-10,14
2007-11,15
2007-12,15
2008-01,14
2008-02,15
2008-03,15
2008-04,13
2008-05,13
2008-06,13
2008-07,14
2008-08,13
2008-09,13
2008-10,13
2008-11,15
2008-12,15
2009-01,14
2009-02,14
2009-03,14
2009-04,14
2009-05,13
2009-06,13
2009-07,14
2009-08,14
2009-09,13
2009-10,15
2009-11,17
2009-12,16
2010-01,16
2010-02,15
2010-03,15
2010-04,15
2010-05,14
2010-06,14
2010-07,15
2010-08,17
2010-09,16
2010-10,16
2010-11,18
2010-12,17
2011-01,17
2011-02,19
2011-03,18
2011-04,19
2011-05,17
2011-06,17
2011-07,17
2011-08,19
2011-09,19
2011-10,19
2011-11,22
2011-12,21
2012-01,22
2012-02,22
2012-03,22
2012-04,22
2012-05,21
2012-06,22
2012-07,22
2012-08,23
2012-09,23
2012-10,23
2012-11,24
2012-12,25
2013-01,26
2013-02,28
2013-03,27
2013-04,25
2013-05,25
2013-06,24
2013-07,25
2013-08,26
2013-09,26
2013-10,26
2013-11,29
2013-12,29
2014-01,31
2014-02,31
2014-03,32
2014-04,30
2014-05,28
2014-06,28
2014-07,29
2014-08,29
2014-09,28
2014-10,30
2014-11,32
2014-12,31
2015-01,32
2015-02,33
2015-03,33
2015-04,32
2015-05,32
2015-06,33
2015-07,34
2015-08,36
2015-09,35
2015-10,39
2015-11,41
2015-12,44
2016-01,44
2016-02,46
2016-03,49
2016-04,49
2016-05,48
2016-06,49
2016-07,47
2016-08,46
2016-09,46
2016-10,48
2016-11,60
2016-12,68
2017-01,53
2017-02,50
2017-03,52
2017-04,51
2017-05,50
2017-06,52
2017-07,72
2017-08,72
2017-09,66
2017-10,67
2017-11,70
2017-12,72
2018-01,79
2018-02,74
2018-03,73
2018-04,72
2018-05,66
2018-06,63
2018-07,65
2018-08,67
2018-09,66
2018-10,67
2018-11,71
2018-12,75
2019-01,77
2019-02,72
2019-03,71
2019-04,72
2019-05,65
2019-06,69
2019-07,68
2019-08,72
2019-09,69
2019-10,79
2019-11,98
2019-12,90
2020-01,100
2020-02,88
2020-03,67
2020-04,71
2020-05,75
2020-06,74
2020-07,75
2020-08,76
2020-09,69
2020-10,68
2020-11,67
2020-12,71
