months,veganism
2004-01,0
2004-02,12
2004-03,15
2004-04,24
2004-05,0
2004-06,10
2004-07,43
2004-08,59
2004-09,18
2004-10,9
2004-11,28
2004-12,17
2005-01,15
2005-02,24
2005-03,7
2005-04,15
2005-05,0
2005-06,14
2005-07,0
2005-08,20
2005-09,18
2005-10,22
2005-11,11
2005-12,17
2006-01,10
2006-02,35
2006-03,13
2006-04,37
2006-05,13
2006-06,13
2006-07,18
2006-08,20
2006-09,36
2006-10,29
2006-11,24
2006-12,18
2007-01,22
2007-02,26
2007-03,3
2007-04,21
2007-05,31
2007-06,30
2007-07,16
2007-08,20
2007-09,10
2007-10,17
2007-11,28
2007-12,14
2008-01,18
2008-02,17
2008-03,27
2008-04,15
2008-05,21
2008-06,21
2008-07,17
2008-08,11
2008-09,22
2008-10,18
2008-11,13
2008-12,24
2009-01,21
2009-02,14
2009-03,19
2009-04,21
2009-05,9
2009-06,15
2009-07,24
2009-08,14
2009-09,24
2009-10,28
2009-11,24
2009-12,18
2010-01,13
2010-02,23
2010-03,20
2010-04,17
2010-05,24
2010-06,15
2010-07,17
2010-08,16
2010-09,20
2010-10,20
2010-11,17
2010-12,22
2011-01,16
2011-02,21
2011-03,17
2011-04,20
2011-05,16
2011-06,12
2011-07,17
2011-08,24
2011-09,19
2011-10,19
2011-11,17
2011-12,20
2012-01,22
2012-02,24
2012-03,20
2012-04,23
2012-05,20
2012-06,11
2012-07,21
2012-08,20
2012-09,27
2012-10,16
2012-11,19
2012-12,18
2013-01,19
2013-02,25
2013-03,21
2013-04,18
2013-05,22
2013-06,20
2013-07,25
2013-08,21
2013-09,22
2013-10,24
2013-11,21
2013-12,19
2014-01,19
2014-02,27
2014-03,26
2014-04,20
2014-05,26
2014-06,18
2014-07,24
2014-08,21
2014-09,20
2014-10,22
2014-11,31
2014-12,25
2015-01,20
2015-02,25
2015-03,28
2015-04,30
2015-05,32
2015-06,33
2015-07,26
2015-08,33
2015-09,36
2015-10,40
2015-11,37
2015-12,43
2016-01,42
2016-02,48
2016-03,53
2016-04,51
2016-05,55
2016-06,52
2016-07,41
2016-08,35
2016-09,43
2016-10,49
2016-11,41
2016-12,36
2017-01,45
2017-02,44
2017-03,48
2017-04,43
2017-05,50
2017-06,44
2017-07,62
2017-08,54
2017-09,56
2017-10,59
2017-11,53
2017-12,54
2018-01,62
2018-02,68
2018-03,52
2018-04,61
2018-05,59
2018-06,54
2018-07,45
2018-08,40
2018-09,52
2018-10,61
2018-11,60
2018-12,59
2019-01,69
2019-02,55
2019-03,65
2019-04,56
2019-05,56
2019-06,51
2019-07,49
2019-08,55
2019-09,64
2019-10,65
2019-11,74
2019-12,65
2020-01,100
2020-02,77
2020-03,69
2020-04,60
2020-05,40
2020-06,43
2020-07,38
2020-08,47
2020-09,49
2020-10,52
2020-11,44
2020-12,39
