year,population_world
2015,7380117870
2016,7464344232
2017,7548182589
2018,7631091110
2019,7713468203
2020,7794798725
2021,7874965730
2022,7953952572
2023,8031800338
2024,8108605253
2025,8184437453
2026,8259276649
2027,8333078315
2028,8405863296
2029,8477660720
2030,8548487367
2031,8618349452
2032,8687227871
2033,8755083512
2034,8821862703
2035,8887524228
2036,8952048883
2037,9015437614
2038,9077693643
2039,9138828561
2040,9198847382
2041,9257745483
2042,9315508153
2043,9372118246
2044,9427555381
2045,9481803269
2046,9534854671
2047,9586707748
2048,9637357320
2049,9686800144
2050,9735033898
